Week,Day,Date,FPGA Tasks,SDR Tasks,Advanced Theory,Resources
Week 1,Day 1,Monday,✓Install Vivado Design Suite. Set up FPGA development environment. Read Nexys A7 Reference Manual.,Install ADALM-Pluto SDR software. Set up SDR development environment.,Study FPGA architecture. Introduction to SDR fundamentals.,Vivado Installation Guide; Nexys A7 Manual; ADALM-Pluto Quick Start Guide
Week 1,Day 2,Tuesday,Choose HDL (✓Verilog or VHDL). Review basic syntax and structures.,✓Familiarize with ADALM-Pluto hardware. Perform initial SDR tests.,Learn basics of Digital Signal Processing (DSP).,Verilog/VHDL Tutorial; DSP Introduction
Week 1,Day 3,Wednesday,Write and simulate LED Blinker. Learn project creation in Vivado.,Learn GNU Radio Companion basics. Create a simple flowgraph.,Study Sampling Theory and Nyquist-Shannon Theorem.,LED Blinker Tutorial; GNU Radio Tutorials
Week 1,Day 4,Thursday,Implement Switch Inputs controlling LEDs. Understand constraints file usage.,Receive FM radio broadcasts using SDR. Demodulate and listen to audio.,Explore Analog-to-Digital Conversion concepts.,Constraints File Usage; FM Receiver Tutorial
Week 1,Day 5,Friday,Create Binary Counter displaying on LEDs. Explore timing constraints.,Transmit custom signals with SDR. Use MATLAB or Python scripts.,Study FIR Filters and their applications.,Counter Implementation Guide; SDR MATLAB Support
Week 1,Day 6,Saturday,Experiment with Seven-Segment Display. Learn clock division and debouncing.,Use Spectrum Analyzer tools. Visualize signals in frequency domain.,Understand Frequency Domain Analysis.,Seven-Segment Display Tutorial; Signal Analysis Guides
Week 1,Day 7,Sunday,Review and document week's FPGA learning. Summarize challenges and solutions.,Review and document week's SDR learning.,Consolidate understanding of DSP concepts.,N/A
Week 2,Day 8,Monday,Implement a simple FIR filter in HDL. Simulate filter design.,Create a flowgraph to transmit and receive signals.,Study Convolution and its applications in DSP.,FIR Filter Tutorial; GNU Radio Tutorials
Week 2,Day 9,Tuesday,Implement FIR filter on FPGA. Test with input signals.,Receive and process signals from FPGA using SDR.,Learn about Filter Design and Frequency Response.,Implementing FIR Filters on FPGA; SDR Processing Guides
Week 2,Day 10,Wednesday,Explore DSP48E1 slice in FPGA. Implement MAC operations.,Implement basic modulation schemes in GNU Radio.,"Study Modulation Techniques: AM, FM, PM.",Xilinx DSP48E1 User Guide; Modulation Tutorials
